date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2022-03-23,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-23 [archive import: scored retroactively, not a live reading]",2022-03-23,scoring
2022-03-24,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-24 [archive import: scored retroactively, not a live reading]",2022-03-24,scoring
2022-03-25,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-25 [archive import: scored retroactively, not a live reading]",2022-03-25,scoring
2022-03-28,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-28 [archive import: scored retroactively, not a live reading]",2022-03-28,scoring
2022-03-29,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-29 [archive import: scored retroactively, not a live reading]",2022-03-29,scoring
2022-03-30,1,0.000,0,up,"NY Fed SRF total accepted 1.0$m on 2022-03-30 [archive import: scored retroactively, not a live reading]",2022-03-30,scoring
2022-03-31,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-03-31 [archive import: scored retroactively, not a live reading]",2022-03-31,scoring
2022-04-01,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-04-01 [archive import: scored retroactively, not a live reading]",2022-04-01,scoring
2022-04-04,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-04-04 [archive import: scored retroactively, not a live reading]",2022-04-04,scoring
2022-04-05,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-04-05 [archive import: scored retroactively, not a live reading]",2022-04-05,scoring
2022-04-06,1,0.000,0,up,"NY Fed SRF total accepted 1.0$m on 2022-04-06 [archive import: scored retroactively, not a live reading]",2022-04-06,scoring
2022-04-07,1,0.000,0,up,"NY Fed SRF total accepted 1.0$m on 2022-04-07 [archive import: scored retroactively, not a live reading]",2022-04-07,scoring
2022-04-08,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-04-08 [archive import: scored retroactively, not a live reading]",2022-04-08,scoring
2022-04-11,61,0.006,0,up,"NY Fed SRF total accepted 61.0$m on 2022-04-11 [archive import: scored retroactively, not a live reading]",2022-04-11,scoring
2022-04-12,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-04-12 [archive import: scored retroactively, not a live reading]",2022-04-12,scoring
2022-04-13,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-04-13 [archive import: scored retroactively, not a live reading]",2022-04-13,scoring
2022-04-14,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-04-14 [archive import: scored retroactively, not a live reading]",2022-04-14,scoring
2022-04-18,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2022-04-18 [archive import: scored retroactively, not a live reading]",2022-04-18,scoring
